Locality;Locality;"COD IBGE";"Life expectancy at birth (1991)";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (1991)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (1991)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (1991)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (1991)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (1991)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (1991)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (1991)";"Per capita income (2000)";"Per capita income (2010)"
Brasil;Country;--;64.73;68.61;73.94;44.68;30.57;16.70;0.493;0.612;0.727;0.647;0.692;0.739;0.662;0.727;0.816;0.279;0.456;0.637;8.16;8.76;9.54;447.56;592.46;793.87
"Acrelândia (AC)";Municipality;120001;64.10;68.36;73.45;39.43;25.65;18.30;0.247;0.451;0.604;0.535;0.565;0.584;0.652;0.723;0.808;0.043;0.224;0.466;4.01;6.66;7.35;223.65;268.77;303.76
"Assis Brasil (AC)";Municipality;120005;63.73;67.64;71.19;40.73;27.61;24.30;0.314;0.425;0.588;0.499;0.517;0.578;0.646;0.711;0.770;0.096;0.209;0.456;7.66;6.52;7.08;178.52;199.63;291.33
"Brasiléia (AC)";Municipality;120010;62.33;66.57;71.22;45.75;30.71;24.20;0.336;0.476;0.614;0.497;0.570;0.619;0.622;0.693;0.770;0.123;0.273;0.485;5.81;6.37;7.42;176.76;277.15;376.07
"Bujari (AC)";Municipality;120013;65.62;67.39;71.32;36.18;28.33;23.90;0.267;0.460;0.589;0.513;0.546;0.603;0.677;0.707;0.772;0.055;0.252;0.439;6.97;6.58;8.59;194.84;238.86;340.95
"Capixaba (AC)";Municipality;120017;60.74;65.93;72.62;51.95;32.63;20.40;0.183;0.365;0.575;0.514;0.538;0.601;0.596;0.682;0.794;0.020;0.133;0.398;5.09;4.07;7.47;195.72;227.36;336.17
"Cruzeiro do Sul (AC)";Municipality;120020;64.10;68.23;71.58;39.43;26.00;23.38;0.398;0.510;0.664;0.513;0.564;0.648;0.652;0.721;0.776;0.188;0.327;0.582;8.12;7.45;9.13;194.63;266.84;450.06
"Epitaciolândia (AC)";Municipality;120025;63.56;67.05;71.27;41.30;29.28;24.10;0.372;0.474;0.653;0.540;0.569;0.654;0.643;0.701;0.771;0.148;0.267;0.553;7.97;7.19;8.85;229.95;276.34;467.83
"Feijó (AC)";Municipality;120030;60.04;63.64;68.35;54.83;40.18;33.20;0.258;0.323;0.539;0.459;0.431;0.559;0.584;0.644;0.723;0.064;0.121;0.388;4.23;3.97;7.03;139.30;116.68;259.43
"Jordão (AC)";Municipality;120032;61.64;63.24;68.83;48.39;41.58;31.60;0.170;0.222;0.469;0.333;0.331;0.499;0.611;0.637;0.731;0.024;0.052;0.283;3.68;2.56;5.73;63.50;62.65;178.03
"Mâncio Lima (AC)";Municipality;120033;62.33;65.93;71.17;45.75;32.63;24.40;0.298;0.456;0.625;0.429;0.489;0.580;0.622;0.682;0.770;0.099;0.285;0.546;7.12;7.15;9.49;115.12;167.70;295.50
"Manoel Urbano (AC)";Municipality;120034;63.56;66.57;71.04;41.30;30.71;24.70;0.218;0.395;0.551;0.423;0.505;0.586;0.643;0.693;0.767;0.038;0.176;0.373;2.84;4.82;5.88;111.50;184.82;307.70
"Marechal Thaumaturgo (AC)";Municipality;120035;60.74;63.24;68.55;51.95;41.58;32.50;0.186;0.301;0.501;0.361;0.395;0.479;0.596;0.637;0.726;0.030;0.108;0.361;4.15;4.15;7.52;75.84;93.59;157.27
"Plácido de Castro (AC)";Municipality;120038;63.94;68.23;72.17;39.98;26.00;21.60;0.265;0.464;0.622;0.469;0.539;0.593;0.649;0.721;0.786;0.061;0.257;0.517;4.13;6.75;8.72;148.43;228.86;321.16
"Porto Acre (AC)";Municipality;120080;62.33;66.07;71.24;45.75;32.20;24.20;0.259;0.443;0.576;0.457;0.531;0.593;0.622;0.685;0.771;0.061;0.239;0.418;4.37;6.96;8.35;137.41;217.70;319.71
"Porto Walter (AC)";Municipality;120039;60.74;63.24;68.58;51.95;41.58;32.40;0.176;0.342;0.532;0.354;0.454;0.521;0.596;0.637;0.726;0.026;0.138;0.397;5.90;4.61;7.79;72.49;134.95;204.19
"Rio Branco (AC)";Municipality;120040;66.02;68.43;72.85;33.21;25.45;20.03;0.485;0.591;0.727;0.643;0.673;0.729;0.684;0.724;0.798;0.259;0.423;0.661;7.93;8.71;9.72;437.12;527.43;744.67
"Rodrigues Alves (AC)";Municipality;120042;62.33;63.64;69.18;45.75;40.18;30.40;0.245;0.399;0.567;0.386;0.449;0.518;0.622;0.644;0.736;0.061;0.220;0.477;5.58;6.62;8.51;88.55;130.54;200.58
"Santa Rosa do Purus (AC)";Municipality;120043;63.56;67.05;71.86;41.30;29.28;22.40;0.167;0.277;0.517;0.378;0.359;0.519;0.643;0.701;0.781;0.019;0.084;0.340;4.23;4.55;4.72;84.23;74.55;201.58
"Senador Guiomard (AC)";Municipality;120045;65.62;68.43;72.17;36.18;25.45;21.60;0.354;0.488;0.640;0.535;0.583;0.649;0.677;0.724;0.786;0.123;0.275;0.513;6.47;7.28;8.79;223.06;300.18;455.06
"Sena Madureira (AC)";Municipality;120050;63.83;68.36;73.59;40.39;25.65;18.00;0.317;0.451;0.603;0.483;0.527;0.593;0.647;0.723;0.810;0.102;0.240;0.456;6.20;6.37;7.56;161.96;212.97;320.80
"Tarauacá (AC)";Municipality;120060;61.68;63.64;68.21;48.24;40.18;33.70;0.274;0.386;0.539;0.450;0.488;0.554;0.611;0.644;0.720;0.075;0.183;0.392;6;5.36;7.19;131.44;166.60;251.53
"Xapuri (AC)";Municipality;120070;63.73;67.64;71.38;40.73;27.61;23.70;0.348;0.445;0.599;0.496;0.540;0.621;0.646;0.711;0.773;0.131;0.230;0.448;5.67;7.04;7.66;175.31;230.69;382.24
"Água Branca (AL)";Municipality;270010;59.55;65.47;68.70;65.68;41.94;33.80;0.282;0.392;0.549;0.367;0.459;0.527;0.576;0.675;0.728;0.106;0.195;0.432;6.94;5.71;8.66;78.70;138.86;213.00
"Anadia (AL)";Municipality;270020;57.19;64.65;70.35;77.28;44.96;28.40;0.302;0.428;0.568;0.433;0.491;0.546;0.537;0.661;0.756;0.118;0.242;0.444;6.23;6.76;8.64;118.12;170.30;239.53
"Arapiraca (AL)";Municipality;270030;56.48;64.01;71.82;80.99;47.40;22.00;0.359;0.476;0.649;0.532;0.558;0.638;0.525;0.650;0.780;0.165;0.297;0.549;6.67;7.56;9.61;219.56;258.45;423.28
"Atalaia (AL)";Municipality;270040;62.91;67.08;70.13;51.06;36.38;29.00;0.285;0.407;0.561;0.434;0.474;0.545;0.632;0.701;0.752;0.084;0.203;0.431;7.69;5.21;8.29;118.92;152.85;237.33
"Barra de Santo Antônio (AL)";Municipality;270050;58.12;65.01;68.90;72.54;43.62;33.10;0.265;0.378;0.557;0.398;0.460;0.552;0.552;0.667;0.732;0.085;0.176;0.428;7.42;5.59;8.25;95.27;140.20;247.81
"Barra de São Miguel (AL)";Municipality;270060;58.12;65.97;71.02;72.54;40.18;26.30;0.275;0.440;0.615;0.476;0.531;0.638;0.552;0.683;0.767;0.079;0.235;0.475;6.21;6.22;8.46;154.82;218.00;422.78
