Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
Brasil;Country;--;68,61;73,94;30,57;16,70;0,612;0,727;0,692;0,739;0,727;0,816;0,456;0,637;8,76;9,54;592,46;793,87
"Abadia de Goiás (Abadia de Goiás , RM Goiânia)";HDU;--;70,87;74,82;25,00;13,40;0,569;0,708;0,623;0,687;0,765;0,830;0,386;0,622;9,48;8,58;385,66;574,96
"Abadiânia (Abadiânia , RIDE Distrito Federal e Entorno)";HDU;--;68,81;75,46;29,70;12,60;0,503;0,689;0,598;0,671;0,730;0,841;0,292;0,579;7,83;9,75;330,07;519,87
"Área Rural de Aldeia : Chã de Cruz / Agrovila Pitanga II / PE 027 / PE 018 (Abreu E Lima , RM Recife)";HDU;--;66,11;69,12;49,10;29,63;0,498;0,610;0,521;0,569;0,685;0,735;0,346;0,542;8,20;9,84;204,79;275,98
"Área Rural de Timbó : Mata de São Bento (Abreu E Lima , RM Recife)";HDU;--;66,11;69,19;49,10;29,41;0,498;0,603;0,521;0,578;0,685;0,737;0,346;0,514;8,20;9,47;204,79;292,50
"Caetés I / Caetés II / Caetés III / Timbó : Rua das Ninfas / Rua Córrego da Areia (Abreu E Lima , RM Recife)";HDU;--;66,11;69,12;49,10;29,63;0,498;0,610;0,521;0,569;0,685;0,735;0,346;0,542;8,20;9,84;204,79;275,98
"Caetés I / Caetés III : Av. D (Abreu E Lima , RM Recife)";HDU;--;67,43;72,55;44,40;19,90;0,581;0,708;0,559;0,639;0,707;0,793;0,497;0,700;9,45;11,22;259,07;426,79
"Caetés II : Cotel - Centro de Triagem Professor Everardo Luna (Abreu E Lima , RM Recife)";HDU;--;73,15;77,21;27,20;12,13;0,700;0,773;0,695;0,739;0,803;0,870;0,614;0,719;9,74;10,88;606,01;792,64
"Caetés II / Distrito Industrial : Av. A (Abreu E Lima , RM Recife)";HDU;--;67,31;71,81;44,80;21,80;0,567;0,693;0,557;0,630;0,705;0,780;0,464;0,678;9,21;10,89;256,49;403,04
"Caetés I : PE 018 / Quadra de Futebol de Salão (Abreu E Lima , RM Recife)";HDU;--;68,90;73,26;39,50;18,20;0,612;0,721;0,606;0,663;0,732;0,804;0,516;0,704;9,56;10,96;347,30;496,24
"Caetés I : Rua 191 (Abreu E Lima , RM Recife)";HDU;--;73,15;77,21;27,20;12,13;0,700;0,773;0,695;0,739;0,803;0,870;0,614;0,719;9,74;10,88;606,01;792,64
"Caetés I ( Vila Frei Damião ) (Abreu E Lima , RM Recife)";HDU;--;66,11;69,19;49,10;29,41;0,498;0,603;0,521;0,578;0,685;0,737;0,346;0,514;8,20;9,47;204,79;292,50
"Centro ( Alto da Bela Vista ) (Abreu E Lima , RM Recife)";HDU;--;66,11;69,12;49,10;29,63;0,498;0,610;0,521;0,569;0,685;0,735;0,346;0,542;8,20;9,84;204,79;275,98
"Centro / Alto da Bela Vista / Timbó : BR 101 (Abreu E Lima , RM Recife)";HDU;--;68,90;73,26;39,50;18,20;0,612;0,721;0,606;0,663;0,732;0,804;0,516;0,704;9,56;10,96;347,30;496,24
"Centro : Praça Polivalente (Abreu E Lima , RM Recife)";HDU;--;73,15;77,21;27,20;12,13;0,700;0,773;0,695;0,739;0,803;0,870;0,614;0,719;9,74;10,88;606,01;792,64
"Centro / Timbó / Alto São Miguel / Jardim Caetés : Câmara Municipal (Abreu E Lima , RM Recife)";HDU;--;67,31;71,81;44,80;21,80;0,567;0,693;0,557;0,630;0,705;0,780;0,464;0,678;9,21;10,89;256,49;403,04
"Desterro : Conjunto Residencial Fábio Correia (Abreu E Lima , RM Recife)";HDU;--;73,15;77,21;27,20;12,13;0,700;0,773;0,695;0,739;0,803;0,870;0,614;0,719;9,74;10,88;606,01;792,64
"Desterro / Matinha / Fosfato : Vila da Caixa / BR 101 (Abreu E Lima , RM Recife)";HDU;--;68,90;73,26;39,50;18,20;0,612;0,721;0,606;0,663;0,732;0,804;0,516;0,704;9,56;10,96;347,30;496,24
"Fosfato / Alto São Miguel / Centro : Rua Bahia / Biblioteca (Abreu E Lima , RM Recife)";HDU;--;66,11;69,19;49,10;29,41;0,498;0,603;0,521;0,578;0,685;0,737;0,346;0,514;8,20;9,47;204,79;292,50
