Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
Brasil;Country;--;68.61;73.94;30.57;16.70;0.612;0.727;0.692;0.739;0.727;0.816;0.456;0.637;8.76;9.54;592.46;793.87
"RM Baixada Santista";"Metropolitan Region";--;72.20;75.50;19.30;14.00;0.700;0.777;0.754;0.775;0.787;0.842;0.579;0.720;10.19;10.73;872.76;996.70
"RM Belém";"Metropolitan Region";--;70.13;74.00;29.40;19.10;0.621;0.729;0.672;0.722;0.752;0.817;0.474;0.656;8.64;9.91;524.82;715.11
"RM Belo Horizonte";"Metropolitan Region";--;72.01;75.94;23.80;13.90;0.682;0.774;0.737;0.788;0.784;0.849;0.549;0.694;9.82;9.93;782.97;1079.91
"RM Campinas";"Metropolitan Region";--;73.04;76.46;17.77;12.60;0.710;0.792;0.769;0.798;0.801;0.858;0.582;0.726;10.11;10.76;955.99;1148.94
"RM Curitiba";"Metropolitan Region";--;72.56;76.17;21.60;11.20;0.698;0.783;0.759;0.803;0.793;0.853;0.565;0.701;10.10;10.71;901.38;1183.32
"RIDE Distrito Federal e Entorno";"Metropolitan Region";--;72.45;76.41;21.73;13.20;0.680;0.792;0.769;0.826;0.791;0.857;0.516;0.701;9.51;10.05;960.32;1362.52
"RM Fortaleza";"Metropolitan Region";--;69.55;73.86;33.00;16.78;0.622;0.732;0.663;0.716;0.743;0.814;0.488;0.672;8.99;10.33;496.32;688.72
"RM Goiânia";"Metropolitan Region";--;71.83;75.14;23.00;12.98;0.667;0.769;0.735;0.786;0.781;0.836;0.517;0.691;9.55;10.14;775.29;1063.93
"RM Grande São Luís";"Metropolitan Region";--;68.73;73.51;38.30;19.30;0.642;0.755;0.647;0.721;0.729;0.809;0.560;0.737;9.37;10.30;449.12;710.73
"RM Grande Vitória";"Metropolitan Region";--;71.75;75.85;23.20;12.90;0.678;0.772;0.726;0.782;0.779;0.848;0.552;0.695;10.02;9.89;731.30;1038.38
"RM Maceió";"Metropolitan Region";--;65.85;72.67;45.40;21.60;0.567;0.702;0.666;0.717;0.681;0.795;0.402;0.608;7.58;9.57;503.36;691.51
"RM Manaus";"Metropolitan Region";--;68.77;73.70;34.20;17.39;0.585;0.720;0.661;0.724;0.730;0.812;0.414;0.636;7.99;9.57;487.67;725.17
"RM Natal";"Metropolitan Region";--;69.49;73.83;39.60;17.28;0.625;0.733;0.676;0.736;0.742;0.814;0.487;0.658;9.16;10.03;537.69;778.86
"RM Porto Alegre";"Metropolitan Region";--;73.55;76.31;16.20;11.10;0.685;0.762;0.758;0.797;0.809;0.855;0.524;0.649;10.08;10.07;896.72;1143.12
"RM Recife";"Metropolitan Region";--;69.26;73.79;38.40;17.30;0.627;0.734;0.683;0.736;0.738;0.813;0.490;0.662;8.75;9.86;560.66;780.36
"RM Rio de Janeiro";"Metropolitan Region";--;71.51;75.31;23.70;13.70;0.686;0.771;0.759;0.796;0.775;0.839;0.548;0.686;9.11;9.56;900.81;1130.75
"RM Salvador";"Metropolitan Region";--;69.58;74.45;39.80;16.20;0.636;0.743;0.698;0.754;0.743;0.824;0.497;0.661;8.80;9.41;614.59;874.07
"RM São Paulo";"Metropolitan Region";--;72.40;76.15;18.90;13.00;0.714;0.794;0.779;0.812;0.790;0.853;0.592;0.723;10.24;10.64;1016.70;1249.72
"RM Vale do Paraíba e Litoral Norte";"Metropolitan Region";--;72.75;76.03;18.30;13.20;0.701;0.781;0.732;0.765;0.796;0.851;0.592;0.732;10.42;11.12;759.40;933.37
"RM Vale do Rio Cuiabá";"Metropolitan Region";--;70.95;75.06;24.70;15.30;0.668;0.767;0.729;0.773;0.766;0.834;0.533;0.700;9.86;10.19;746.19;984.91

