Locality;Locality;"COD IBGE";"Life expectancy at birth (2000)";"Life expectancy at birth (2010)";"Infant mortality (2000)";"Infant mortality (2010)";"MHDI (2000)";"MHDI (2010)";"MHDI Income (2000)";"MHDI Income (2010)";"MHDI Longevity (2000)";"MHDI Longevity (2010)";"MHDI Education (2000)";"MHDI Education (2010)";"Years of study expectancy (2000)";"Years of study expectancy (2010)";"Per capita income (2000)";"Per capita income (2010)"
Brasil;Country;--;68.61;73.94;30.57;16.70;0.612;0.727;0.692;0.739;0.727;0.816;0.456;0.637;8.76;9.54;592.46;793.87
"Barreiro (Belo Horizonte . RM Belo Horizonte)";"Regional Divisions";--;72.70;76.13;22.30;13.60;0.660;0.744;0.665;0.720;0.795;0.852;0.544;0.672;10.06;9.87;502.96;705.07
"Centro-Sul (Belo Horizonte . RM Belo Horizonte)";"Regional Divisions";--;77.06;81.00;14.00;7.60;0.849;0.914;0.952;0.995;0.868;0.933;0.741;0.823;10.36;10.55;2983.66;3915.67
"Leste (Belo Horizonte . RM Belo Horizonte)";"Regional Divisions";--;75.33;79.57;17.10;9.20;0.739;0.827;0.772;0.830;0.839;0.910;0.623;0.748;10.21;10.31;974.41;1400.02
"Nordeste (Belo Horizonte . RM Belo Horizonte)";"Regional Divisions";--;75.06;78.72;17.60;10.20;0.722;0.801;0.747;0.800;0.834;0.895;0.605;0.719;10.16;10.14;836.27;1162.19
"Noroeste (Belo Horizonte . RM Belo Horizonte)";"Regional Divisions";--;75.44;79.42;16.90;9.40;0.749;0.818;0.773;0.811;0.841;0.907;0.646;0.744;10.33;10.30;983.22;1247.84
"Norte (Belo Horizonte . RM Belo Horizonte)";"Regional Divisions";--;73.42;76.71;20.80;12.80;0.664;0.754;0.677;0.733;0.807;0.862;0.535;0.679;9.91;10.08;538.80;764.87
"Oeste (Belo Horizonte . RM Belo Horizonte)";"Regional Divisions";--;76.09;79.60;15.70;9.10;0.757;0.839;0.807;0.857;0.852;0.910;0.632;0.757;10.09;10.15;1214.20;1659.84
"Pampulha (Belo Horizonte . RM Belo Horizonte)";"Regional Divisions";--;75.82;79.66;16.20;9.10;0.766;0.853;0.801;0.859;0.847;0.911;0.663;0.793;10.34;10.69;1168.95;1672.21
"Venda Nova (Belo Horizonte . RM Belo Horizonte)";"Regional Divisions";--;73.37;76.61;20.90;13.00;0.660;0.755;0.676;0.732;0.806;0.860;0.528;0.683;9.85;10.30;536.03;759.31
"Centro (Betim . RM Belo Horizonte)";"Regional Divisions";--;74.28;78.55;19.10;10.40;0.697;0.795;0.720;0.786;0.821;0.893;0.574;0.715;10.15;10.03;705.36;1066.17
"Citrolândia/Vianópolis (Betim . RM Belo Horizonte)";"Regional Divisions";--;67.10;72.23;36.50;20.00;0.506;0.670;0.559;0.652;0.702;0.787;0.330;0.585;9.20;8.77;259.64;462.92
"Imbiruçu (Betim . RM Belo Horizonte)";"Regional Divisions";--;69.52;74.16;29.80;16.70;0.593;0.736;0.606;0.684;0.742;0.819;0.463;0.711;9.90;10.45;346.41;563.62
"Jardim Das Alterosas (Betim . RM Belo Horizonte)";"Regional Divisions";--;69.80;75.22;29.10;15.00;0.597;0.740;0.619;0.700;0.747;0.837;0.460;0.693;9.73;10.00;375.74;625.27
"Jardim Terezópolis (Betim . RM Belo Horizonte)";"Regional Divisions";--;68.44;73.56;32.70;17.60;0.558;0.707;0.594;0.682;0.724;0.809;0.405;0.641;9.77;9.86;321.74;558.90
"Norte (Betim . RM Belo Horizonte)";"Regional Divisions";--;72.30;76.51;23.20;13.10;0.652;0.771;0.657;0.730;0.788;0.859;0.536;0.732;9.83;10.45;476.21;752.70
"Santa Cruz (Betim . RM Belo Horizonte)";"Regional Divisions";--;68.69;72.95;32.00;18.70;0.566;0.707;0.596;0.662;0.728;0.799;0.417;0.668;9.71;9.30;326.50;491.07
"Brasília / SIA (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;77.39;81.40;14.50;8.50;0.894;0.952;0.979;1.000;0.873;0.940;0.837;0.918;11.45;11.55;3539.65;4963.98
"Brazlândia (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;70.37;75.20;28.20;17.50;0.619;0.741;0.655;0.727;0.756;0.837;0.480;0.669;9.63;9.67;471.19;736.89
"Candangolândia (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;73.89;78.33;20.60;12.60;0.726;0.825;0.728;0.812;0.815;0.889;0.644;0.777;10.50;9.66;740.25;1255.53
"Ceilândia (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;72.05;75.14;24.40;17.60;0.661;0.747;0.682;0.727;0.784;0.836;0.541;0.687;10.09;9.90;557.59;735.99
"Cruzeiro / Sudoeste / Octogonal (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;77.25;81.32;14.70;8.60;0.879;0.942;0.955;1.000;0.871;0.939;0.816;0.889;11.37;11.75;3049.79;4707.90
"Gama (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;73.92;78.11;20.60;12.90;0.699;0.805;0.729;0.789;0.815;0.885;0.576;0.748;10.25;10.34;747.53;1081.67
"Guará / SCIA / SIA (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;75.66;79.96;17.40;10.30;0.789;0.847;0.847;0.873;0.844;0.916;0.687;0.760;10.45;10.25;1553.88;1826.23
"Lago Norte / Varjão (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;76.70;80.00;15.60;10.30;0.835;0.904;0.982;1.000;0.862;0.917;0.688;0.806;10.27;9.94;3614.39;4425.55
"Lago Sul (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;78.40;82.16;12.90;7.70;0.909;0.955;1.000;1.000;0.890;0.953;0.844;0.913;11.44;11.48;5936.16;7422.45
"Núcleo Bandeirante / Park Way (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;76.30;80.25;16.30;10.00;0.802;0.888;0.872;0.955;0.855;0.921;0.692;0.797;10.39;10.46;1820.46;3040.92
"Paranoá / Jardim Botânico (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;69.94;76.50;29.30;15.30;0.584;0.757;0.653;0.800;0.749;0.858;0.407;0.631;8.64;9.40;464.08;1158.98
"Planaltina (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;70.51;74.34;27.90;19.00;0.599;0.723;0.662;0.717;0.759;0.822;0.428;0.642;9.31;9.55;493.11;691.97
"Recanto das Emas (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;69.10;73.95;31.40;19.70;0.564;0.724;0.600;0.698;0.735;0.816;0.406;0.665;8.94;9.78;333.88;616.47
"Riacho Fundo I / Riacho Fundo II (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;72.16;77.08;24.20;14.40;0.665;0.797;0.700;0.780;0.786;0.868;0.535;0.747;9.88;10.36;622.88;1024.69
"Samambaia (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;69.86;75.42;29.50;17.10;0.605;0.755;0.637;0.733;0.748;0.840;0.465;0.698;9.54;10.04;422.05;766.96
"Santa Maria (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;69.52;74.45;30.30;18.80;0.600;0.747;0.636;0.719;0.742;0.824;0.457;0.704;9.60;9.88;418.99;701.07
"São Sebastião / Jardim Botânico (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;71.05;75.60;26.60;16.80;0.616;0.761;0.708;0.812;0.768;0.843;0.429;0.645;9.15;9.99;656.60;1253.76
"Sobradinho I / Sobradinho II / Itapoã / Fercal (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;74.09;77.07;20.30;14.40;0.718;0.801;0.779;0.821;0.818;0.868;0.582;0.720;10.00;10.20;1016.69;1327.20
"Taguatinga / Vicente Pires / Águas Claras (Brasília . RIDE Distrito Federal e Entorno)";"Regional Divisions";--;75.47;79.79;17.70;10.60;0.775;0.873;0.818;0.892;0.841;0.913;0.676;0.818;10.73;10.79;1300.66;2057.02
"RPA 01 ( Sul ) (Camaragibe . RM Recife)";"Regional Divisions";--;68.64;71.88;40.40;22.79;0.596;0.700;0.609;0.642;0.727;0.781;0.479;0.684;9.27;10.83;354.80;435.71
"RPA 02 ( Sudoeste ) (Camaragibe . RM Recife)";"Regional Divisions";--;66.08;70.14;49.20;26.57;0.512;0.636;0.524;0.598;0.685;0.752;0.375;0.573;8.94;9.45;208.33;330.89
"RPA 03 ( Sudeste ) (Camaragibe . RM Recife)";"Regional Divisions";--;68.93;73.21;39.40;19.90;0.618;0.706;0.613;0.661;0.732;0.804;0.526;0.663;9.68;10.81;362.76;489.71
"RPA 04 ( Centro Leste ) (Camaragibe . RM Recife)";"Regional Divisions";--;66.93;70.41;46.20;25.98;0.500;0.634;0.548;0.600;0.699;0.757;0.327;0.561;7.54;9.02;242.84;334.93
"RPA 05 ( Norte ) (Camaragibe . RM Recife)";"Regional Divisions";--;70.02;74.75;36.00;16.56;0.553;0.705;0.705;0.770;0.750;0.829;0.320;0.549;7.82;9.75;643.34;962.97
"Água Branca (Contagem . RM Belo Horizonte)";"Regional Divisions";--;71.99;75.64;23.90;14.40;0.626;0.744;0.654;0.711;0.783;0.844;0.480;0.685;9.48;10.54;466.93;668.86
