,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
0,,68.79,58.83,Brasil,,1991,0.344,0.533,0.564,0.136,6.67,220.56
1,,39.43,64.10,Assis Brasil (AC),,1991,0.247,0.535,0.652,0.043,4.01,223.65
2,,40.73,63.73,Brasiléia (AC),,1991,0.314,0.499,0.646,0.096,7.66,178.52
3,,45.75,62.33,Bujari (AC),,1991,0.336,0.497,0.622,0.123,5.81,176.76
4,,36.18,65.62,Capixaba (AC),,1991,0.267,0.513,0.677,0.055,6.97,194.84
5,,51.95,60.74,Cruzeiro do Sul (AC),,1991,0.183,0.514,0.596,0.020,5.09,195.72
6,,39.43,64.10,Epitaciolândia (AC),,1991,0.398,0.513,0.652,0.188,8.12,194.63
7,,41.30,63.56,Feijó (AC),,1991,0.372,0.540,0.643,0.148,7.97,229.95
8,,54.83,60.04,Jordão (AC),,1991,0.258,0.459,0.584,0.064,4.23,139.30
9,,48.39,61.64,Mâncio Lima (AC),,1991,0.170,0.333,0.611,0.024,3.68,63.50
10,,45.75,62.33,Manoel Urbano (AC),,1991,0.298,0.429,0.622,0.099,7.12,115.12
11,,41.30,63.56,Marechal Thaumaturgo (AC),,1991,0.218,0.423,0.643,0.038,2.84,111.50
12,,51.95,60.74,Plácido de Castro (AC),,1991,0.186,0.361,0.596,0.030,4.15,75.84
13,,39.98,63.94,Porto Acre (AC),,1991,0.265,0.469,0.649,0.061,4.13,148.43
14,,45.75,62.33,Porto Walter (AC),,1991,0.259,0.457,0.622,0.061,4.37,137.41
15,,51.95,60.74,Rio Branco (AC),,1991,0.176,0.354,0.596,0.026,5.90,72.49
16,,33.21,66.02,Rodrigues Alves (AC),,1991,0.485,0.643,0.684,0.259,7.93,437.12
17,,45.75,62.33,Santa Rosa do Purus (AC),,1991,0.245,0.386,0.622,0.061,5.58,88.55
18,,41.30,63.56,Senador Guiomard (AC),,1991,0.167,0.378,0.643,0.019,4.23,84.23
19,,36.18,65.62,Sena Madureira (AC),,1991,0.354,0.535,0.677,0.123,6.47,223.06
20,,40.39,63.83,Tarauacá (AC),,1991,0.317,0.483,0.647,0.102,6.20,161.96
21,,48.24,61.68,Xapuri (AC),,1991,0.274,0.450,0.611,0.075,6,131.44
22,,40.73,63.73,Água Branca (AL),,1991,0.348,0.496,0.646,0.131,5.67,175.31
23,,65.68,59.55,Anadia (AL),,1991,0.282,0.367,0.576,0.106,6.94,78.70
24,,77.28,57.19,Arapiraca (AL),,1991,0.302,0.433,0.537,0.118,6.23,118.12
25,,80.99,56.48,Atalaia (AL),,1991,0.359,0.532,0.525,0.165,6.67,219.56
26,,51.06,62.91,Barra de Santo Antônio (AL),,1991,0.285,0.434,0.632,0.084,7.69,118.92
27,,72.54,58.12,Barra de São Miguel (AL),,1991,0.265,0.398,0.552,0.085,7.42,95.27
28,,72.54,58.12,Batalha (AL),,1991,0.275,0.476,0.552,0.079,6.21,154.82
29,,95.65,53.86,Belém (AL),,1991,0.291,0.468,0.481,0.110,6.30,147.26
30,,68.05,59.04,Belo Monte (AL),,1991,0.298,0.444,0.567,0.105,5.50,126.56
31,,90.80,54.70,Boca da Mata (AL),,1991,0.227,0.373,0.495,0.063,5.16,81.56
32,,65.65,59.55,Branquinha (AL),,1991,0.333,0.450,0.576,0.143,4.46,131.36
33,,90.38,54.77,Cacimbinhas (AL),,1991,0.197,0.369,0.496,0.042,2.34,79.46
34,,80.22,56.63,Cajueiro (AL),,1991,0.282,0.450,0.527,0.095,6.18,131.92
35,,92.50,54.40,Campestre (AL),,1991,0.288,0.429,0.490,0.114,3.77,115.66
36,,83.56,56,Campo Alegre (AL),,1991,0.312,0.432,0.517,0.136,7.59,117.67
37,,65.65,59.55,Campo Grande (AL),,1991,0.292,0.460,0.576,0.094,5.28,140.40
38,,83.93,55.93,Canapi (AL),,1991,0.214,0.357,0.516,0.053,4.85,73.75
39,,100.56,53.04,Capela (AL),,1991,0.205,0.390,0.467,0.047,5.23,90.55
40,,72.55,58.12,Carneiros (AL),,1991,0.288,0.419,0.552,0.103,6.23,108.30
41,,104.35,52.42,Chã Preta (AL),,1991,0.271,0.410,0.457,0.106,6.26,102.67
42,,77.28,57.19,Coité do Nóia (AL),,1991,0.287,0.405,0.537,0.109,5.72,99.58
43,,83.93,55.93,Colônia Leopoldina (AL),,1991,0.235,0.418,0.516,0.060,5.32,107.71
44,,83.56,56,Coqueiro Seco (AL),,1991,0.255,0.403,0.517,0.080,6.48,98.44
45,,65.65,59.55,Coruripe (AL),,1991,0.344,0.485,0.576,0.146,5.99,163.51
46,,65.65,59.55,Craíbas (AL),,1991,0.317,0.477,0.576,0.116,5.75,155.81
47,,83.93,55.93,Delmiro Gouveia (AL),,1991,0.204,0.402,0.516,0.041,2.61,97.79
48,,77.28,57.19,Dois Riachos (AL),,1991,0.334,0.464,0.537,0.149,6.91,143.20
49,,86.21,55.52,Estrela de Alagoas (AL),,1991,0.261,0.403,0.509,0.087,5.02,98.28
50,,73.54,57.92,Feira Grande (AL),,1991,0.221,0.394,0.549,0.050,4.48,92.68
51,,93.38,54.25,Feliz Deserto (AL),,1991,0.250,0.403,0.488,0.079,7.10,98.17
52,,70.48,58.54,Flexeiras (AL),,1991,0.329,0.429,0.559,0.149,4.85,115.58
53,,92.50,54.40,Girau do Ponciano (AL),,1991,0.232,0.404,0.490,0.063,5.50,99.04
54,,83.93,55.93,Ibateguara (AL),,1991,0.241,0.405,0.516,0.067,3.90,99.28
55,,80.16,56.64,Igaci (AL),,1991,0.266,0.397,0.527,0.090,6.20,94.49
56,,84.96,55.74,Igreja Nova (AL),,1991,0.241,0.390,0.512,0.070,6.94,90.71
57,,70.48,58.54,Inhapi (AL),,1991,0.220,0.391,0.559,0.049,5.10,90.97
58,,100.56,53.04,Jacaré dos Homens (AL),,1991,0.189,0.364,0.467,0.040,6.57,76.86
59,,83.93,55.93,Jacuípe (AL),,1991,0.296,0.439,0.516,0.114,3.73,122.99
60,,72.55,58.12,Japaratinga (AL),,1991,0.229,0.437,0.552,0.050,6.70,121.11
61,,52.31,62.60,Jaramataia (AL),,1991,0.331,0.437,0.627,0.132,6.71,121.44
62,,93.38,54.25,Jequiá da Praia (AL),,1991,0.221,0.381,0.488,0.058,6.46,85.43
63,,77.28,57.19,Joaquim Gomes (AL),,1991,0.260,0.431,0.537,0.076,5.59,117.17
64,,73.86,57.86,Jundiá (AL),,1991,0.223,0.399,0.548,0.051,6.24,95.55
65,,89.24,54.97,Junqueiro (AL),,1991,0.278,0.453,0.500,0.095,5.06,133.86
66,,72.54,58.12,Lagoa da Canoa (AL),,1991,0.281,0.429,0.552,0.094,7.01,115.22
67,,83.93,55.93,Limoeiro de Anadia (AL),,1991,0.248,0.406,0.516,0.073,4.43,100.05
68,,83.93,55.93,Maceió (AL),,1991,0.214,0.394,0.516,0.048,4.05,92.83
69,,60.63,60.65,Major Isidoro (AL),,1991,0.507,0.649,0.594,0.339,7.96,455.26
70,,83.93,55.93,Maragogi (AL),,1991,0.281,0.437,0.516,0.098,6.77,121.50
71,,65.08,59.68,Maravilha (AL),,1991,0.278,0.421,0.578,0.088,4.98,109.95
72,,71.73,58.28,Marechal Deodoro (AL),,1991,0.300,0.367,0.555,0.132,4.49,78.36
