,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
0,,"25,00","70,87","Abadiânia (Abadiânia , RIDE Distrito Federal e Entorno)",,2000,"0,569","0,623","0,765","0,386","9,48","385,66"
1,,"29,70","68,81","Área Rural de Aldeia : Chã de Cruz / Agrovila Pitanga II / PE 027 / PE 018 (Abreu E Lima , RM Recife)",,2000,"0,503","0,598","0,730","0,292","7,83","330,07"
2,,"49,10","66,11","Área Rural de Timbó : Mata de São Bento (Abreu E Lima , RM Recife)",,2000,"0,498","0,521","0,685","0,346","8,20","204,79"
3,,"49,10","66,11","Caetés I / Caetés II / Caetés III / Timbó : Rua das Ninfas / Rua Córrego da Areia (Abreu E Lima , RM Recife)",,2000,"0,498","0,521","0,685","0,346","8,20","204,79"
4,,"49,10","66,11","Caetés I / Caetés III : Av. D (Abreu E Lima , RM Recife)",,2000,"0,498","0,521","0,685","0,346","8,20","204,79"
5,,"44,40","67,43","Caetés II : Cotel - Centro de Triagem Professor Everardo Luna (Abreu E Lima , RM Recife)",,2000,"0,581","0,559","0,707","0,497","9,45","259,07"
6,,"27,20","73,15","Caetés II / Distrito Industrial : Av. A (Abreu E Lima , RM Recife)",,2000,"0,700","0,695","0,803","0,614","9,74","606,01"
7,,"44,80","67,31","Caetés I : PE 018 / Quadra de Futebol de Salão (Abreu E Lima , RM Recife)",,2000,"0,567","0,557","0,705","0,464","9,21","256,49"
8,,"39,50","68,90","Caetés I : Rua 191 (Abreu E Lima , RM Recife)",,2000,"0,612","0,606","0,732","0,516","9,56","347,30"
9,,"27,20","73,15","Caetés I ( Vila Frei Damião ) (Abreu E Lima , RM Recife)",,2000,"0,700","0,695","0,803","0,614","9,74","606,01"
10,,"49,10","66,11","Centro ( Alto da Bela Vista ) (Abreu E Lima , RM Recife)",,2000,"0,498","0,521","0,685","0,346","8,20","204,79"
11,,"49,10","66,11","Centro / Alto da Bela Vista / Timbó : BR 101 (Abreu E Lima , RM Recife)",,2000,"0,498","0,521","0,685","0,346","8,20","204,79"
12,,"39,50","68,90","Centro : Praça Polivalente (Abreu E Lima , RM Recife)",,2000,"0,612","0,606","0,732","0,516","9,56","347,30"
13,,"27,20","73,15","Centro / Timbó / Alto São Miguel / Jardim Caetés : Câmara Municipal (Abreu E Lima , RM Recife)",,2000,"0,700","0,695","0,803","0,614","9,74","606,01"
14,,"44,80","67,31","Desterro : Conjunto Residencial Fábio Correia (Abreu E Lima , RM Recife)",,2000,"0,567","0,557","0,705","0,464","9,21","256,49"
15,,"27,20","73,15","Desterro / Matinha / Fosfato : Vila da Caixa / BR 101 (Abreu E Lima , RM Recife)",,2000,"0,700","0,695","0,803","0,614","9,74","606,01"
16,,"39,50","68,90","Fosfato / Alto São Miguel / Centro : Rua Bahia / Biblioteca (Abreu E Lima , RM Recife)",,2000,"0,612","0,606","0,732","0,516","9,56","347,30"
17,,"49,10","66,11","Jardim Caetés / Caetés III / Planalto / Desterro : Rua do Eucalipto / Rua Boa Sorte (Abreu E Lima , RM Recife)",,2000,"0,498","0,521","0,685","0,346","8,20","204,79"
18,,"49,10","66,11","Planalto : Rua Almirante Tamandaré (Abreu E Lima , RM Recife)",,2000,"0,498","0,521","0,685","0,346","8,20","204,79"
19,,"44,80","67,31","Adrianópolis (Adrianópolis , RM Curitiba)",,2000,"0,567","0,557","0,705","0,464","9,21","256,49"
20,,"27,30","69,87","Água Fria de Goiás (Água Fria de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,542","0,539","0,748","0,396","8,81","228,71"
21,,"28,00","69,51","Cidade Jardim / Jardim Querência / Parque da Barragem (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,481","0,599","0,742","0,250","6,72","332,03"
22,,"24,40","71,17","Condomínio Privê Mansões Águas Lindas / Av. JK (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,520","0,605","0,770","0,302","7,79","344,37"
23,,"21,70","72,49","Condomínio Solar da Barragem / Jardim Califórnia / Jardim América / Parque do Bosque / Quintas Vale Verde / Parque das Águas Bonitas (Águas Lindas de Goiás , RIDE Distrito Federal e Entorno)",,2000,"0,623","0,641","0,792","0,476","9,03","432,38"
