,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
0,,28.90,69.18,Brasil,,2000,0.578,0.584,0.736,0.449,9.38,303.18
1,,22.30,72.70,Centro-Sul (Belo Horizonte . RM Belo Horizonte),,2000,0.660,0.665,0.795,0.544,10.06,502.96
2,,14.00,77.06,Leste (Belo Horizonte . RM Belo Horizonte),,2000,0.849,0.952,0.868,0.741,10.36,2983.66
3,,17.10,75.33,Nordeste (Belo Horizonte . RM Belo Horizonte),,2000,0.739,0.772,0.839,0.623,10.21,974.41
4,,17.60,75.06,Noroeste (Belo Horizonte . RM Belo Horizonte),,2000,0.722,0.747,0.834,0.605,10.16,836.27
5,,16.90,75.44,Norte (Belo Horizonte . RM Belo Horizonte),,2000,0.749,0.773,0.841,0.646,10.33,983.22
6,,20.80,73.42,Oeste (Belo Horizonte . RM Belo Horizonte),,2000,0.664,0.677,0.807,0.535,9.91,538.80
7,,15.70,76.09,Pampulha (Belo Horizonte . RM Belo Horizonte),,2000,0.757,0.807,0.852,0.632,10.09,1214.20
8,,16.20,75.82,Venda Nova (Belo Horizonte . RM Belo Horizonte),,2000,0.766,0.801,0.847,0.663,10.34,1168.95
9,,20.90,73.37,Centro (Betim . RM Belo Horizonte),,2000,0.660,0.676,0.806,0.528,9.85,536.03
10,,19.10,74.28,Citrolândia/Vianópolis (Betim . RM Belo Horizonte),,2000,0.697,0.720,0.821,0.574,10.15,705.36
11,,36.50,67.10,Imbiruçu (Betim . RM Belo Horizonte),,2000,0.506,0.559,0.702,0.330,9.20,259.64
12,,29.80,69.52,Jardim Das Alterosas (Betim . RM Belo Horizonte),,2000,0.593,0.606,0.742,0.463,9.90,346.41
13,,29.10,69.80,Jardim Terezópolis (Betim . RM Belo Horizonte),,2000,0.597,0.619,0.747,0.460,9.73,375.74
14,,32.70,68.44,Norte (Betim . RM Belo Horizonte),,2000,0.558,0.594,0.724,0.405,9.77,321.74
15,,23.20,72.30,Santa Cruz (Betim . RM Belo Horizonte),,2000,0.652,0.657,0.788,0.536,9.83,476.21
16,,32.00,68.69,Brasília / SIA (Brasília . RIDE Distrito Federal e Entorno),,2000,0.566,0.596,0.728,0.417,9.71,326.50
17,,14.50,77.39,Brazlândia (Brasília . RIDE Distrito Federal e Entorno),,2000,0.894,0.979,0.873,0.837,11.45,3539.65
18,,28.20,70.37,Candangolândia (Brasília . RIDE Distrito Federal e Entorno),,2000,0.619,0.655,0.756,0.480,9.63,471.19
19,,20.60,73.89,Ceilândia (Brasília . RIDE Distrito Federal e Entorno),,2000,0.726,0.728,0.815,0.644,10.50,740.25
20,,24.40,72.05,Cruzeiro / Sudoeste / Octogonal (Brasília . RIDE Distrito Federal e Entorno),,2000,0.661,0.682,0.784,0.541,10.09,557.59
21,,14.70,77.25,Gama (Brasília . RIDE Distrito Federal e Entorno),,2000,0.879,0.955,0.871,0.816,11.37,3049.79
22,,20.60,73.92,Guará / SCIA / SIA (Brasília . RIDE Distrito Federal e Entorno),,2000,0.699,0.729,0.815,0.576,10.25,747.53
23,,17.40,75.66,Lago Norte / Varjão (Brasília . RIDE Distrito Federal e Entorno),,2000,0.789,0.847,0.844,0.687,10.45,1553.88
24,,15.60,76.70,Lago Sul (Brasília . RIDE Distrito Federal e Entorno),,2000,0.835,0.982,0.862,0.688,10.27,3614.39
25,,12.90,78.40,Núcleo Bandeirante / Park Way (Brasília . RIDE Distrito Federal e Entorno),,2000,0.909,1.000,0.890,0.844,11.44,5936.16
