,codigo,inf_mortality,life_ex,locale,locale_type,year,MHDI,MHDI_income,MHDI_life_ex,MHDI_education,education,income
0,,63.65,60.32,Brasil,,1991,0.369,0.549,0.589,0.155,6.36,243.58
1,,41.85,63.72,Alagoas,,1991,0.402,0.574,0.645,0.176,6.56,284.96
2,,74.50,58.10,Amazonas,,1991,0.370,0.527,0.552,0.174,6.62,211.98
3,,50.36,63.67,Amapá,,1991,0.430,0.605,0.645,0.204,6.52,345.82
4,,43.72,65.05,Bahia,,1991,0.472,0.620,0.668,0.254,7.81,378.57
5,,70.87,59.94,Ceará,,1991,0.386,0.543,0.582,0.182,5.75,234.57
6,,63.13,61.76,Distrito Federal,,1991,0.405,0.532,0.613,0.204,6.27,219.83
7,,27.35,68.87,Espírito Santo,,1991,0.616,0.762,0.731,0.419,9.48,916
8,,34.98,66.17,Goiás,,1991,0.505,0.619,0.686,0.304,9.30,377.38
9,,29.53,65.10,Maranhão,,1991,0.487,0.633,0.668,0.273,8.30,410.55
10,,81.97,58.04,Minas Gerais,,1991,0.357,0.478,0.551,0.173,6.29,156.47
11,,35.39,66.36,Mato Grosso do Sul,,1991,0.478,0.618,0.689,0.257,8.36,373.85
12,,34.73,66.93,Mato Grosso,,1991,0.488,0.641,0.699,0.259,8.56,433.21
13,,33.64,64.24,Pará,,1991,0.449,0.627,0.654,0.221,8.16,395.34
14,,52.55,63.42,Paraíba,,1991,0.413,0.567,0.640,0.194,6.48,273.22
15,,74.47,58.88,Pernambuco,,1991,0.382,0.515,0.565,0.191,6.21,196.59
16,,62.55,62.04,Piauí,,1991,0.440,0.569,0.617,0.242,7.67,275.49
17,,64.73,60.71,Paraná,,1991,0.362,0.488,0.595,0.164,5.89,167.03
18,,38.69,65.71,Rio de Janeiro,,1991,0.507,0.644,0.679,0.298,9.68,439.09
19,,29.94,66.42,Rio Grande do Norte,,1991,0.573,0.696,0.690,0.392,8.65,608.80
20,,67.93,60.48,Rondônia,,1991,0.428,0.547,0.591,0.242,7.51,240.33
21,,42.41,63.11,Roraima,,1991,0.407,0.585,0.635,0.181,7.55,304.90
22,,49.25,62.66,Rio Grande do Sul,,1991,0.459,0.643,0.628,0.240,7.14,437.24
23,,22.53,68.76,Santa Catarina,,1991,0.542,0.667,0.729,0.328,10.25,507.61
24,,24.84,70.16,Sergipe,,1991,0.543,0.648,0.753,0.329,9.93,449.78
25,,65.76,59.83,São Paulo,,1991,0.408,0.552,0.581,0.211,6.45,247.78
26,,27.31,68.82,Tocantins,,1991,0.578,0.729,0.730,0.363,9.68,746.22
27,,30.57,68.61,Acre,,2000,0.612,0.692,0.727,0.456,8.76,592.46
28,,30.36,66.66,Alagoas,,2000,0.517,0.612,0.694,0.325,6.77,360.63
29,,48.96,63.79,Amazonas,,2000,0.471,0.574,0.647,0.282,6.54,285.29
30,,37.95,66.51,Amapá,,2000,0.515,0.608,0.692,0.324,6.68,351.63
31,,31.62,67.68,Bahia,,2000,0.577,0.638,0.711,0.424,8.69,424.57
32,,41.81,65.80,Ceará,,2000,0.512,0.594,0.680,0.332,7.28,322.04
33,,41.43,67.77,Distrito Federal,,2000,0.541,0.588,0.713,0.377,8.22,310.21
34,,20.71,73.86,Espírito Santo,,2000,0.725,0.805,0.814,0.582,10.07,1199.44
35,,23.45,71.64,Goiás,,2000,0.640,0.687,0.777,0.491,9.51,574.17
36,,24.44,71.40,Maranhão,,2000,0.615,0.686,0.773,0.439,9.04,571.49
37,,46.53,63.92,Minas Gerais,,2000,0.476,0.531,0.649,0.312,6.87,218.27
38,,27.75,70.55,Mato Grosso do Sul,,2000,0.624,0.680,0.759,0.470,9.16,548.87
39,,25.53,70.09,Mato Grosso,,2000,0.613,0.687,0.752,0.445,9.52,576.33
40,,27.53,69.38,Pará,,2000,0.601,0.689,0.740,0.426,9.02,582.62
41,,33.05,68.49,Paraíba,,2000,0.518,0.601,0.725,0.319,6.80,335.76
42,,43.30,65.34,Pernambuco,,2000,0.506,0.582,0.672,0.331,7.33,299.09
43,,47.31,67.32,Piauí,,2000,0.544,0.615,0.705,0.372,7.70,367.31
44,,41.87,65.55,Paraná,,2000,0.484,0.556,0.676,0.301,6.68,254.78
45,,20.30,69.83,Rio de Janeiro,,2000,0.650,0.704,0.747,0.522,10.11,638.27
46,,21.21,69.42,Rio Grande do Norte,,2000,0.664,0.745,0.740,0.530,8.96,826.04
47,,43.27,66.98,Rondônia,,2000,0.552,0.608,0.700,0.396,8.56,351.01
48,,30.38,66.27,Roraima,,2000,0.537,0.654,0.688,0.345,7.85,467.16
49,,29.03,67.99,Rio Grande do Sul,,2000,0.598,0.652,0.717,0.457,8.95,462.18
50,,16.71,73.22,Santa Catarina,,2000,0.664,0.720,0.804,0.505,10.25,708.12
51,,16.79,73.69,Sergipe,,2000,0.674,0.717,0.812,0.526,10.13,693.82
52,,42.97,65.66,São Paulo,,2000,0.518,0.596,0.678,0.343,7.21,326.67
53,,19.35,72.16,Tocantins,,2000,0.702,0.756,0.786,0.581,10.23,882.40
54,,36.48,66.28,Brasil,,2000,0.525,0.605,0.688,0.348,7.94,344.41
55,,16.70,73.94,Acre,,2010,0.727,0.739,0.816,0.637,9.54,793.87
56,,23.01,71.63,Alagoas,,2010,0.663,0.671,0.777,0.559,8.69,522.15
57,,28.40,70.32,Amazonas,,2010,0.631,0.641,0.755,0.520,9.07,432.56
58,,17.01,73.30,Amapá,,2010,0.674,0.677,0.805,0.561,8.54,539.80
59,,15.14,73.80,Bahia,,2010,0.708,0.694,0.813,0.629,9.44,598.98
60,,21.73,71.97,Ceará,,2010,0.660,0.663,0.783,0.555,8.63,496.73
61,,19.29,72.60,Distrito Federal,,2010,0.682,0.651,0.793,0.615,9.82,460.63
62,,14.01,77.35,Espírito Santo,,2010,0.824,0.863,0.873,0.742,9.87,1715.11
63,,14.15,75.10,Goiás,,2010,0.740,0.743,0.835,0.653,9.36,815.43
64,,13.96,74.60,Maranhão,,2010,0.735,0.742,0.827,0.646,9.72,810.97
65,,28.03,70.40,Minas Gerais,,2010,0.639,0.612,0.757,0.562,9.26,360.34
66,,15.08,75.30,Mato Grosso do Sul,,2010,0.731,0.730,0.838,0.638,9.38,749.69
67,,18.14,74.96,Mato Grosso,,2010,0.729,0.740,0.833,0.629,10.08,799.34
68,,16.80,74.25,Pará,,2010,0.725,0.732,0.821,0.635,9.29,762.52
69,,20.29,72.36,Paraíba,,2010,0.646,0.646,0.789,0.528,8.49,446.76
70,,21.67,72.00,Pernambuco,,2010,0.658,0.656,0.783,0.555,9.24,474.94
71,,20.43,72.32,Piauí,,2010,0.673,0.673,0.789,0.574,9.13,525.64
72,,23.05,71.62,Paraná,,2010,0.646,0.635,0.777,0.547,9.23,416.93
73,,13.08,74.80,Rio de Janeiro,,2010,0.749,0.757,0.830,0.668,10.43,890.89
74,,14.15,75.10,Rio Grande do Norte,,2010,0.761,0.782,0.835,0.675,9.17,1039.30
75,,19.70,72.52,Rondônia,,2010,0.684,0.678,0.792,0.597,9.54,545.42
76,,18.02,72.97,Roraima,,2010,0.690,0.712,0.800,0.577,9.20,670.82
77,,16.11,73.51,Rio Grande do Sul,,2010,0.707,0.695,0.809,0.628,8.69,605.59
78,,12.38,75.38,Santa Catarina,,2010,0.746,0.769,0.840,0.642,10.00,959.24
79,,11.54,76.61,Sergipe,,2010,0.774,0.773,0.860,0.697,10.24,983.90
80,,22.22,71.84,São Paulo,,2010,0.665,0.672,0.781,0.560,9.01,523.53
81,,13.86,75.69,Tocantins,,2010,0.783,0.789,0.845,0.719,10.33,1084.46
82,,19.56,72.56,Brasil,,2010,0.699,0.690,0.793,0.624,9.80,586.62
83,,44.68,,Acre,,1991,0.493,0.647,0.662,0.279,8.16,447.56
