Sigla;Código;Município;Renda familiar - per capita - média (1970);Renda per capita (1970);Renda familiar - per capita - média (1980);Renda per capita (1980);Renda familiar - per capita - média (1991);Renda per capita (1991);Renda familiar - per capita - média (2000);Renda per capita (2000)
AC;1200013;Acrelândia;;;;;;102.228;;136.539
AC;1200054;Assis Brasil;;;0.45;;0.62;91.83;;115.16
AC;1200104;Brasiléia;0.41;;0.58;;0.61;95.391;;132.383
AC;1200138;Bujari;;;;;;103.562;;118.815
AC;1200179;Capixaba;;;;;;117.352;;108.164
AC;1200203;Cruzeiro do Sul;0.28;;0.51;;0.51;101.907;;140.199
AC;1200252;Epitaciolândia;;;;;;113.35;;134.364
AC;1200302;Feijó;0.31;;0.39;;0.44;78.044;;64.546
AC;1200328;Jordão;;;;;;32.716;;34.527
AC;1200336;Mâncio Lima;;;0.37;;0.32;58.729;;95.012
AC;1200344;Manoel Urbano;;;0.46;;0.36;65.101;;91.65
AC;1200351;Marechal Thaumaturgo;;;;;;41.698;;51.68
AC;1200385;Plácido de Castro;;;0.88;;0.47;80.905;;114.435
AC;1200393;Porto Walter;;;;;;38.273;;69.52
AC;1200401;Rio Branco;0.59;;1.22;;1.24;219.497;;264.433
AC;1200427;Rodrigues Alves;;;;;;43.797;;65.194
AC;1200435;Santa Rosa do Purus;;;;;;81.892;;45.117
AC;1200450;Senador Guiomard;;;0.73;;0.68;117.324;;152.534
AC;1200500;Sena Madureira;0.31;;0.74;;0.5;87.26;;107.644
AC;1200609;Tarauacá;0.25;;0.43;;0.38;69.158;;91.973
AC;1200708;Xapuri;0.34;;0.6;;0.55;97.665;;122.962
AC;1200807;Porto Acre;;;;;;85.101;;110.634
AL;2700102;Água Branca;0.15;;0.27;;0.24;45.133;;69.936
AL;2700201;Anadia;0.15;;0.39;;0.35;59.602;;85.302
AL;2700300;Arapiraca;0.28;;0.64;;0.65;113.408;;129.207
AL;2700409;Atalaia;0.31;;0.53;;0.34;57.249;;75.91
AL;2700508;Barra de Santo Antônio;0.29;;0.52;;0.27;51.777;;68.398
AL;2700607;Barra de São Miguel;0.25;;0.4;;0.44;77.517;;108.927
AL;2700706;Batalha;0.29;;0.63;;0.44;75.039;;119.851
AL;2700805;Belém;0.22;;0.26;;0.37;61.604;;69.912
AL;2700904;Belo Monte;0.13;;0.37;;0.25;44.714;;59.404
AL;2701001;Boca da Mata;0.27;;0.53;;0.38;65.955;;85.006
AL;2701100;Branquinha;0.3;;0.41;;0.23;41.202;;58.419
AL;2701209;Cacimbinhas;0.14;;0.38;;0.36;70.65;;69.761
AL;2701308;Cajueiro;0.32;;0.45;;0.33;57.966;;63.151
AL;2701357;Campestre;;;;;;57.793;;73.037
AL;2701407;Campo Alegre;0.18;;0.58;;0.42;75.577;;66.305
AL;2701506;Campo Grande;0.17;;0.25;;0.26;46.394;;58.508
AL;2701605;Canapi;0.13;;0.25;;0.29;51.596;;43.352
AL;2701704;Capela;0.26;;0.46;;0.31;54.022;;72.177
AL;2701803;Carneiros;0.11;;0.21;;0.29;51.411;;61.277
AL;2701902;Chã Preta;0.11;;0.44;;0.29;47.417;;62.213
AL;2702009;Coité do Nóia;0.18;;0.3;;0.31;71.77;;62.863
AL;2702108;Colônia Leopoldina;0.26;;0.4;;0.28;49.572;;76.174
AL;2702207;Coqueiro Seco;0.24;;0.47;;0.56;85.263;;94.643
AL;2702306;Coruripe;0.25;;0.52;;0.45;79.149;;92.477
AL;2702355;Craíbas;;;;;0.29;53.044;;57.91
