Sigla;Código;Município;1970;1980;1991;2000;
AC;1200013;Acrelândia;;;39.429;28.326;
AC;1200054;Assis Brasil;;116.53;54.199;27.612;
AC;1200104;Brasiléia;143.36;117.4;64.13;30.708;
AC;1200138;Bujari;;;33.209;28.326;
AC;1200179;Capixaba;;;51.946;41.576;
AC;1200203;Cruzeiro do Sul;109.06;62.24;40.385;32.195;
AC;1200252;Epitaciolândia;;;54.199;29.284;
AC;1200302;Feijó;124.83;78.38;54.828;32.631;
AC;1200328;Jordão;;;48.387;41.576;
AC;1200336;Mâncio Lima;;69.93;41.556;32.195;
AC;1200344;Manoel Urbano;;85.72;45.754;32.631;
AC;1200351;Marechal Thaumaturgo;;;41.556;32.195;
AC;1200385;Plácido de Castro;;131.9;39.976;25.999;
AC;1200393;Porto Walter;;;41.556;40.175;
AC;1200401;Rio Branco;104.67;75.63;36.179;29.58;
AC;1200427;Rodrigues Alves;;;41.556;40.175;
AC;1200435;Santa Rosa do Purus;;;45.754;41.576;
AC;1200450;Senador Guiomard;;78.67;41.296;25.454;
AC;1200500;Sena Madureira;129.52;85.72;40.73;25.652;
AC;1200609;Tarauacá;149.56;78.38;48.241;32.631;
AC;1200708;Xapuri;150.89;115.84;54.199;27.612;
AC;1200807;Porto Acre;;;39.976;25.999;
AL;2700102;Água Branca;213.56;137.42;65.679;41.941;
AL;2700201;Anadia;195.5;145.75;86.214;44.958;
AL;2700300;Arapiraca;242.15;215.2;80.987;47.403;
AL;2700409;Atalaia;197.61;153.57;51.063;36.379;
AL;2700508;Barra de Santo Antônio;228.11;151.95;83.929;43.619;
AL;2700607;Barra de São Miguel;179.41;136.81;72.536;40.179;
AL;2700706;Batalha;259.24;189.51;95.653;54.279;
AL;2700805;Belém;237.79;141.38;68.05;46.349;
AL;2700904;Belo Monte;246.95;179.64;100.561;52.395;
AL;2701001;Boca da Mata;178.27;171.34;65.648;44.215;
AL;2701100;Branquinha;188.64;144.46;83.525;67.072;
AL;2701209;Cacimbinhas;184.33;151.07;80.22;54.515;
AL;2701308;Cajueiro;172.06;153.57;92.501;62.139;
AL;2701357;Campestre;;;83.563;59.517;
AL;2701407;Campo Alegre;197.12;175.66;65.648;44.215;
AL;2701506;Campo Grande;248.83;177.54;93.376;50.572;
AL;2701605;Canapi;213.56;150.37;104.655;73.596;
AL;2701704;Capela;188.64;182.59;72.55;53.512;
AL;2701803;Carneiros;236.91;201.91;104.352;66.626;
AL;2701902;Chã Preta;151.26;132.75;70.76;57.741;
AL;2702009;Coité do Nóia;207.62;189.91;93.376;50.572;
AL;2702108;Colônia Leopoldina;190.85;180.39;83.563;60.313;
AL;2702207;Coqueiro Seco;180.88;154.21;72.536;36.978;
AL;2702306;Coruripe;198.29;116.66;65.648;50.262;
AL;2702355;Craíbas;;;93.376;50.572;
AL;2702405;Delmiro Gouveia;197.49;186.13;90.801;45.732;
AL;2702504;Dois Riachos;236.91;181.89;108.707;64.7;
AL;2702553;Estrela de Alagoas;;;73.54;57.219;
AL;2702603;Feira Grande;228.17;202.38;93.376;53.292;
AL;2702702;Feliz Deserto;208.69;161.46;70.478;39.418;
AL;2702801;Flexeiras;206.87;153.57;92.501;57.728;
AL;2702900;Girau do Ponciano;210.56;207.5;93.376;64.815;
AL;2703007;Ibateguara;200.91;154.81;80.158;39.949;
AL;2703106;Igaci;201;147.97;84.958;60.007;
AL;2703205;Igreja Nova;202.59;106.78;70.478;36.983;
AL;2703304;Inhapi;238.54;176.75;104.655;68.553;
AL;2703403;Jacaré dos Homens;246.95;187.08;100.561;69.486;
AL;2703502;Jacuípe;178.23;113.66;63.89;51.291;
AL;2703601;Japaratinga;144.06;127.72;52.311;36.593;
AL;2703700;Jaramataia;274.38;177.08;95.653;52.395;
AL;2703759;Jequiá da Praia;;;;;
AL;2703809;Joaquim Gomes;188.64;138.4;73.856;58.719;
AL;2703908;Jundiá;173.18;153.57;89.238;51.978;
AL;2704005;Junqueiro;195.5;145.75;84.393;42.104;
AL;2704104;Lagoa da Canoa;230.66;215.2;93.376;51.224;
AL;2704203;Limoeiro de Anadia;229.85;131.09;92.352;50.572;
AL;2704302;Maceió;161.31;132.45;52.62;43.69;
AL;2704401;Major Isidoro;223.68;179.64;100.561;81.72;
AL;2704500;Maragogi;144.06;138.77;65.078;33.979;
AL;2704609;Maravilha;208.58;194.41;71.733;44.339;
AL;2704708;Marechal Deodoro;201.56;149.24;53.968;36.56;
AL;2704807;Maribondo;196.35;101.22;66.037;41.436;
AL;2704906;Mar Vermelho;192.37;184.52;63.345;41.436;
AL;2705002;Mata Grande;200.12;148.12;73.929;46.612;
AL;2705101;Matriz de Camaragibe;189.55;126.11;61.09;57.19;
AL;2705200;Messias;207.37;177.82;89.238;48.264;
AL;2705309;Minador do Negrão;200.38;177.14;82.521;42.567;
AL;2705408;Monteirópolis;246.95;164.17;100.561;55.197;
AL;2705507;Murici;191.36;159.84;79.611;55.879;
AL;2705606;Novo Lino;202.77;156.99;90.625;72.267;
AL;2705705;Olho d'Água das Flores;153.79;141.94;95.653;51.435;
AL;2705804;Olho d'Água do Casado;197.49;186.13;114.011;63.084;
AL;2705903;Olho d'Água Grande;212.46;127.97;85.007;45.879;
AL;2706000;Olivença;246.95;222.36;100.561;68.535;
AL;2706109;Ouro Branco;225.56;194.41;100.454;53.209;
AL;2706208;Palestina;236.91;194.41;113.6;68.414;
AL;2706307;Palmeira dos Índios;182.96;155.63;63.345;33.39;
AL;2706406;Pão de Açúcar;221.73;197.52;71.733;44.339;
AL;2706422;Pariconha;;;82.908;59;
AL;2706448;Paripueira;;;65.396;49.301;
AL;2706505;Passo de Camaragibe;141.96;129.83;83.322;55.197;
AL;2706604;Paulo Jacinto;204.98;168.04;77.283;42.567;
AL;2706703;Penedo;182.26;139.94;70.478;42.319;
AL;2706802;Piaçabuçu;215.72;153.27;70.478;45.516;
AL;2706901;Pilar;204.46;155.09;89.323;51.113;
AL;2707008;Pindoba;198.7;154.81;87.159;47.983;
AL;2707107;Piranhas;197.49;186.13;90.801;50.487;
AL;2707206;Poço das Trincheiras;236.91;183.77;104.655;85.102;
AL;2707305;Porto Calvo;188.64;144.13;60.63;41.376;
AL;2707404;Porto de Pedras;144.06;121.62;104.655;85.102;
AL;2707503;Porto Real do Colégio;231.93;153.27;96.212;55.227;
AL;2707602;Quebrangulo;178.37;151.07;72.144;49.142;
AL;2707701;Rio Largo;189.4;150.37;72.536;34.157;
AL;2707800;Roteiro;279.97;234.7;90.376;76.835;
AL;2707909;Santa Luzia do Norte;200.61;136.81;83.929;46.728;
AL;2708006;Santana do Ipanema;231.11;171.78;71.733;50.162;
AL;2708105;Santana do Mundaú;198.7;154.81;78.92;48.25;
AL;2708204;São Brás;248.73;169.88;66.823;36.459;
AL;2708303;São José da Laje;189.07;154.81;80.158;49.477;
AL;2708402;São José da Tapera;270.94;229.18;113.6;67.399;
AL;2708501;São Luís do Quitunde;195.47;116.52;53.508;36.379;
AL;2708600;São Miguel dos Campos;195.5;159.24;65.648;33.142;
AL;2708709;São Miguel dos Milagres;162.67;120.36;49.513;33.979;
AL;2708808;São Sebastião;203.83;156.73;93.376;52.197;
AL;2708907;Satuba;197.86;160.86;53.968;30.495;
AL;2708956;Senador Rui Palmeira;;;113.6;85.102;
AL;2709004;Tanque d'Arca;136.54;93.15;77.283;43.373;
AL;2709103;Taquarana;228.17;215.2;80.987;43.108;
AL;2709152;Teotônio Vilela;;;90.376;76.835;
AL;2709202;Traipu;166.06;138.9;104.655;85.102;
AL;2709301;União dos Palmares;220.3;163.7;70.76;46.37;
AL;2709400;Viçosa;201.45;152.21;87.159;49.477;
AM;1300029;Alvarães;;;46.245;45.787;
AM;1300060;Amaturá;;;59.586;39.53;
AM;1300086;Anamã;;;61.766;55.276;
AM;1300102;Anori;95.01;60.58;60.444;45.296;
AM;1300144;Apuí;;;53.877;47.311;
AM;1300201;Atalaia do Norte;101.05;42.79;49.581;47.6;
AM;1300300;Autazes;86.14;61.68;49.581;41.286;
AM;1300409;Barcelos;112.14;78.62;55.636;27.371;
AM;1300508;Barreirinha;84.55;56.69;54.434;41.286;
AM;1300607;Benjamin Constant;91.1;51.73;49.581;44.481;
AM;1300631;Beruri;;;61.766;53.212;
AM;1300680;Boa Vista do Ramos;;;60.242;59.645;
AM;1300706;Boca do Acre;170.63;70.92;50.901;46.807;
AM;1300805;Borba;121.26;66.63;65.434;63.338;
AM;1300839;Caapiranga;;;50.904;50.4;
AM;1300904;Canutama;113.67;84.93;65.434;63.338;
AM;1301001;Carauari;105.7;78.28;63.499;63.338;
AM;1301100;Careiro;128.96;57.42;43.21;41.286;
AM;1301159;Careiro da Várzea;;;49.581;36.592;
AM;1301209;Coari;139.97;67.42;61.766;39.157;
AM;1301308;Codajás;105.15;66.52;68.946;60.466;
AM;1301407;Eirunepé;130.25;83.07;59.586;58.858;
AM;1301506;Envira;140.75;76.69;59.442;51.845;
AM;1301605;Fonte Boa;108.04;45.69;65.434;63.338;
AM;1301654;Guajará;;;75.815;59.645;
AM;1301704;Humaitá;90.1;43.07;43.21;39.862;
AM;1301803;Ipixuna;141.62;78.28;75.815;75.296;
AM;1301852;Iranduba;;;49.581;28.971;
AM;1301902;Itacoatiara;102.82;72.44;43.601;31.459;
AM;1301951;Itamarati;;;56.577;51.845;
AM;1302009;Itapiranga;104.73;72.44;48.396;36.846;
AM;1302108;Japurá;128.88;85.85;44.451;43.947;
AM;1302207;Juruá;149.99;70.1;75.815;75.296;
AM;1302306;Jutaí;101.05;72.44;65.434;63.338;
