Sigla;Código;Município;Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1970);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1980);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (1991);Anos de estudo - média - pessoas 25 anos e mais (2000);Anos de estudo - média - pessoas 25 anos e mais (2000)
AC;1200013;Acrelândia;;;;;;1.984;;3.268
AC;1200054;Assis Brasil;;;1.4;;2.9;2.862;;3.72
AC;1200104;Brasiléia;1.1;;1.7;;2.6;2.181;;3.788
AC;1200138;Bujari;;;;;;1.758;;2.816
AC;1200179;Capixaba;;;;;;1.543;;2.417
AC;1200203;Cruzeiro do Sul;1.1;;1.7;;2.7;3.184;;4.108
AC;1200252;Epitaciolândia;;;;;;3.152;;3.681
AC;1200302;Feijó;0.7;;1;;1.7;1.66;;1.948
AC;1200328;Jordão;;;;;;0.242;;1.038
AC;1200336;Mâncio Lima;;;1.4;;2;2.259;;3.537
AC;1200344;Manoel Urbano;;;0.5;;1.3;1.465;;2.354
AC;1200351;Marechal Thaumaturgo;;;;;;0.465;;1.433
AC;1200385;Plácido de Castro;;;0.9;;2.4;2.424;;3.483
AC;1200393;Porto Walter;;;;;;0.998;;2.007
AC;1200401;Rio Branco;1.8;;3.5;;4.9;5.06;;5.984
AC;1200427;Rodrigues Alves;;;;;;1.506;;2.292
AC;1200435;Santa Rosa do Purus;;;;;;0.828;;1.708
AC;1200450;Senador Guiomard;;;0.8;;2.5;2.562;;3.825
AC;1200500;Sena Madureira;0.7;;1;;2;1.96;;3.127
AC;1200609;Tarauacá;0.6;;0.7;;1.4;1.5;;2.649
AC;1200708;Xapuri;1.1;;1.5;;2.3;2.491;;3.489
AC;1200807;Porto Acre;;;;;;1.806;;2.895
AL;2700102;Água Branca;0.4;;0.8;;1.8;1.879;;2.699
AL;2700201;Anadia;0.4;;1;;1.6;1.603;;2.748
AL;2700300;Arapiraca;0.7;;1.4;;3.1;3.089;;3.988
AL;2700409;Atalaia;0.8;;1;;1.6;1.586;;2.609
AL;2700508;Barra de Santo Antônio;0.8;;1;;1.7;1.716;;2.875
AL;2700607;Barra de São Miguel;0.6;;1;;2.1;2.131;;3.362
AL;2700706;Batalha;1;;1.4;;1.9;1.937;;2.672
AL;2700805;Belém;0.5;;1.1;;1.6;1.484;;2.515
AL;2700904;Belo Monte;0.8;;0.9;;1.6;1.606;;2.132
AL;2701001;Boca da Mata;0.5;;1.1;;2;2.029;;2.77
AL;2701100;Branquinha;0.4;;0.5;;0.9;0.916;;1.736
AL;2701209;Cacimbinhas;0.6;;0.9;;1.3;1.408;;2.201
AL;2701308;Cajueiro;0.5;;1.1;;2.2;2.178;;2.386
AL;2701357;Campestre;;;;;;1.982;;2.949
AL;2701407;Campo Alegre;0.4;;0.8;;1.4;1.411;;2.406
AL;2701506;Campo Grande;1.00E-20;;0.5;;0.9;1.013;;1.648
AL;2701605;Canapi;0.4;;0.3;;1;1.056;;1.666
AL;2701704;Capela;0.6;;0.9;;2;2.021;;2.87
AL;2701803;Carneiros;0.5;;0.7;;1.9;1.922;;2.653
AL;2701902;Chã Preta;0.4;;0.7;;1.2;1.218;;2.473
AL;2702009;Coité do Nóia;0.3;;0.5;;1.2;1.225;;2.053
AL;2702108;Colônia Leopoldina;0.6;;0.8;;1.4;1.407;;2.61
AL;2702207;Coqueiro Seco;0.9;;1.4;;2.3;2.424;;3.71
AL;2702306;Coruripe;0.8;;1.2;;2.1;2.128;;3.215
AL;2702355;Craíbas;;;;;0.8;0.816;;1.949
AL;2702405;Delmiro Gouveia;1.2;;1.8;;2.5;2.484;;3.491
