Sigla;Código;Estado;1970;1980;1991;1996;2000;
AC;12;Acre;215299;301276;417718;483593;557526;
AL;27;Alagoas;1588068;1982915;2514100;2633251;2822621;
AM;13;Amazonas;955203;1430528;2103243;2389279;2812557;
AP;16;Amapá;114230;175258;289397;379459;477032;
BA;29;Bahia;7493437;9455392;11867991;12541675;13070250;
CE;23;Ceará;4361603;5288429;6366647;6809290;7430661;
DF;53;Distrito Federal;537492;1176908;1601094;1821946;2051146;
ES;32;Espírito Santo;1599324;2023338;2600618;2802707;3097232;
GO;52;Goiás;2416890;3121125;4018903;4514967;5003228;
MA;21;Maranhão;2992678;3996444;4930253;5222183;5651475;
MG;31;Minas Gerais;11485663;13380105;15743152;16672613;17891494;
MS;50;Mato Grosso do Sul;998160;1369769;1780373;1927834;2078001;
MT;51;Mato Grosso;598849;1138918;2027231;2235832;2504353;
PA;15;Pará;2166998;3403498;4950060;5510849;6192307;
PB;25;Paraíba;2382463;2770346;3201114;3305616;3443825;
PE;26;Pernambuco;5161866;6143503;7127855;7399071;7918344;
PI;22;Piauí;1680573;2139196;2582137;2673085;2843278;
PR;41;Paraná;6929821;7629849;8448713;9003804;9563458;
RJ;33;Rio de Janeiro;8994802;11291631;12807706;13406308;14391282;
RN;24;Rio Grande do Norte;1550184;1898835;2415567;2558660;2776782;
RO;11;Rondônia;111064;491025;1132692;1229306;1379787;
RR;14;Roraima;40885;79121;217583;247131;324397;
RS;43;Rio Grande do Sul;6664841;7773849;9138670;9634688;10187798;
SC;42;Santa Catarina;2901660;3628292;4541994;4875244;5356360;
SE;28;Sergipe;900679;1140379;1491876;1624020;1784475;
SP;35;São Paulo;17770975;25042074;31588925;34119110;37032403;
TO;17;Tocantins;521139;739049;919863;1048642;1157098;
