Sigla;Código;Estado;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;
AC;12;Acre;300189;311583;323182;334863;346756;358546;369925;381129;392153;403004;413495;422341;438834;455233;471677;488112;504575;521095;537720;554541;587407;602009;616781;631650;646548;661427;676252;690997;705635;720132;734447;748616;762631;776463;790101;
AL;27;Alagoas;1975258;2028515;2082730;2137324;2192912;2248020;2301205;2353572;2405096;2455812;2504847;2554807;2587145;2619299;2651541;2683766;2716045;2748436;2781033;2814014;2897881;2937414;2975948;3013346;3049431;3084050;3117060;3148387;3177975;3205791;3231836;3256277;3279289;3300935;3321305;
AM;13;Amazonas;1424800;1490051;1556478;1623367;1691475;1758995;1824159;1888320;1951449;2013587;2073666;2127602;2205034;2282029;2359234;2436396;2513691;2591252;2669305;2748281;2872524;2946727;3021363;3096127;3170740;3244995;3318679;3391594;3463562;3534456;3604165;3672969;3740976;3807921;3873743;
AP;16;Amapá;174609;185536;196660;207862;219268;230575;241487;252232;262804;273210;283271;290747;311802;332738;353731;374713;395730;416820;438044;459519;499329;519202;538836;558398;577786;596914;615692;634068;651977;669360;686189;702638;718906;734996;750912;
BA;29;Bahia;9419377;9662141;9909274;10158129;10411519;10662721;10905157;11143861;11378729;11609906;11833426;12065837;12188959;12311385;12434146;12556838;12679740;12803067;12927177;13052753;13519548;13664222;13805391;13942631;14075570;14203837;14327129;14445266;14558148;14665810;14768312;14865405;14957177;15044137;15126371;
CE;23;Ceará;5268693;5379322;5491941;5605346;5720817;5835290;5945769;6054548;6161578;6266926;6368785;6463534;6577637;6691095;6804863;6918567;7032467;7146759;7261778;7378155;7601788;7718435;7830721;7938714;8042368;8141584;8236289;8326445;8412055;8493155;8569783;8642630;8712413;8779338;8843553;
DF;53;Distrito Federal;1172582;1214258;1256685;1299407;1342908;1386033;1427654;1468633;1508954;1548642;1587015;1621458;1670943;1720149;1769489;1818802;1868199;1917766;1967649;2018121;2108798;2148606;2190118;2233473;2278824;2326355;2376239;2428637;2483669;2541434;2602074;2664444;2727098;2789761;2852372;
ES;32;Espírito Santo;2015856;2073435;2132050;2191074;2251173;2310753;2368254;2424870;2480576;2535406;2588421;2638835;2692506;2745874;2799388;2852872;2906448;2960208;3014310;3069052;3194255;3244851;3295622;3346440;3397224;3447900;3498381;3548614;3598524;3648075;3697243;3745577;3792874;3839366;3885049;
GO;52;Goiás;3109175;3198706;3289848;3381626;3475076;3567719;3657128;3745162;3831781;3917039;3999473;4073206;4180857;4287901;4395236;4502511;4609970;4717800;4826316;4936113;5075596;5193467;5309216;5422815;5534201;5643344;5750254;5854898;5957260;6057367;6155266;6250462;6343136;6434048;6523222;
MA;21;Maranhão;3981622;4076237;4172554;4269543;4368299;4466202;4560689;4653721;4745259;4835358;4922472;5007534;5084188;5160409;5236837;5313223;5389740;5466521;5543790;5621971;5794912;5879264;5964486;6049974;6135099;6219144;6301445;6381473;6458789;6533027;6603880;6670977;6734353;6794301;6850884;
